constraints,local_time,ark_local_time,mpc_time
1,0.009897,0.005619,0.097240000000000021
2,0.01066,0.007631,0.091562800000000014
4,0.009559,0.008521,0.10486619999999999
8,0.011136,0.010901,0.098998800000000012
16,0.01514,0.014997,0.12345360000000001
32,0.032443,0.032591,0.12564900000000001
64,0.042328,0.04242,0.12032119999999999
128,0.070819,0.068909,0.16118820000000003
256,0.119611,0.120733,0.21187919999999999
512,0.17569,0.177869,0.28430820000000001
1024,0.30599,0.305958,0.42114620000000003
2048,0.566638,0.556403,0.69659439999999995
4096,0.915311,0.909263,1.6347999999999998
8192,1.672,1.621,1.8637999999999999
16384,3.9,2.993,3.3247999999999998
32768,5.678,5.624,6.4036
65536,9.957,9.987,10.584
131072,18.572,18.402,19.521800000000002
262144,35.38,34.889,36.605199999999996
524288,65.375,65.242,68.804600000000008
1048576,127.397,127.946,133.22300000000001
